#
#    Name:     Legacy Hebrew encoding
#
#    Format: Three tab-separated columns
#        Column #1 is the PUA code (in hex as 0xXXXX)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in PUA order
#
0xF020	0x0020	# SPACE
0xF021	0x0021	# EXCLAMATION MARK
0xF022	0x0022	# QUOTATION MARK
0xF023	0x0023	# NUMBER SIGN
0xF024	0x0024	# DOLLAR SIGN
0xF025	0x0025	# PERCENT SIGN
0xF026	0x0026	# AMPERSAND
0xF027	0x0027	# APOSTROPHE
0xF028	0x0028	# LEFT PARENTHESIS
0xF029	0x0029	# RIGHT PARENTHESIS
0xF02A	0x002A	# ASTERISK
0xF02B	0x002B	# PLUS SIGN
0xF02C	0x002C	# COMMA
0xF02D	0x002D	# HYPHEN-MINUS
0xF02E	0x002E	# FULL STOP
0xF02F	0x002F	# SOLIDUS
0xF030	0x0030	# DIGIT ZERO
0xF031	0x0031	# DIGIT ONE
0xF032	0x0032	# DIGIT TWO
0xF033	0x0033	# DIGIT THREE
0xF034	0x0034	# DIGIT FOUR
0xF035	0x0035	# DIGIT FIVE
0xF036	0x0036	# DIGIT SIX
0xF037	0x0037	# DIGIT SEVEN
0xF038	0x0038	# DIGIT EIGHT
0xF039	0x0039	# DIGIT NINE
0xF03A	0x003A	# COLON
0xF03B	0x003B	# SEMICOLON
0xF03C	0x003C	# LESS-THAN SIGN
0xF03D	0x003D	# EQUALS SIGN
0xF03E	0x003E	# GREATER-THAN SIGN
0xF03F	0x003F	# QUESTION MARK
0xF040	0x0040	# COMMERCIAL AT
0xF05B	0x005B	# LEFT SQUARE BRACKET
0xF05C	0x005C	# REVERSE SOLIDUS
0xF05D	0x005D	# RIGHT SQUARE BRACKET
0xF05E	0x005E	# CIRCUMFLEX ACCENT
0xF05F	0x005F	# LOW LINE
0xF07B	0x007B	# LEFT CURLY BRACKET
0xF07C	0x007C	# VERTICAL LINE
0xF07D	0x007D	# RIGHT CURLY BRACKET
0xF07E	0x007E	# TILDE
0xF080	0x2070	# SUPERSCRIPT ZERO
0xF081	0x00B9	# SUPERSCRIPT ONE
0xF082	0x00B2	# SUPERSCRIPT TWO
0xF083	0x00B3	# SUPERSCRIPT THREE
0xF084	0x2074	# SUPERSCRIPT FOUR
0xF085	0x2075	# SUPERSCRIPT FIVE
0xF086	0x2076	# SUPERSCRIPT SIX
0xF087	0x2077	# SUPERSCRIPT SEVEN
0xF088	0x2078	# SUPERSCRIPT EIGHT
0xF089	0x2079	# SUPERSCRIPT NINE
0xF0A3	0x00A3	# POUND SIGN
0xF0A4	0x20AA	# NEW SHEQEL SIGN
0xF0A7	0x00A7	# SECTION SIGN
0xF0AA	0x00D7	# MULTIPLICATION SIGN
0xF0B0	0x00B0	# DEGREE SIGN
0xF0B7	0x00B7	# MIDDLE DOT
0xF0BA	0x00F7	# DIVISION SIGN
0xF0BC	0x00BC	# VULGAR FRACTION ONE QUARTER
0xF0BD	0x00BD	# VULGAR FRACTION ONE HALF
0xF0BE	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xF0C0	0x05B0	# HEBREW POINT SHEVA
0xF0C1	0x05B1	# HEBREW POINT HATAF SEGOL
0xF0C2	0x05B2	# HEBREW POINT HATAF PATAH
0xF0C3	0x05B3	# HEBREW POINT HATAF QAMATS
0xF0C4	0x05B4	# HEBREW POINT HIRIQ
0xF0C5	0x05B5	# HEBREW POINT TSERE
0xF0C6	0x05B6	# HEBREW POINT SEGOL
0xF0C7	0x05B7	# HEBREW POINT PATAH
0xF0C8	0x05B8	# HEBREW POINT QAMATS
0xF0C9	0x05B9	# HEBREW POINT HOLAM
0xF0CA	0x05BA	# HEBREW POINT HOLAM HASER FOR VAV
0xF0CB	0x05BB	# HEBREW POINT QUBUTS
0xF0CC	0x05BC	# HEBREW POINT DAGESH OR MAPIQ
0xF0CD	0x05BD	# HEBREW POINT METEG
0xF0CE	0x05BE	# HEBREW PUNCTUATION MAQAF
0xF0CF	0x05BF	# HEBREW POINT RAFE
0xF0D0	0x05C0	# HEBREW PUNCTUATION PASEQ
0xF0D1	0x05C1	# HEBREW POINT SHIN DOT
0xF0D2	0x05C2	# HEBREW POINT SIN DOT
0xF0D3	0x05C3	# HEBREW PUNCTUATION SOF PASUQ
0xF0E0	0x05D0	# HEBREW LETTER ALEF
0xF0E1	0x05D1	# HEBREW LETTER BET
0xF0E2	0x05D2	# HEBREW LETTER GIMEL
0xF0E3	0x05D3	# HEBREW LETTER DALET
0xF0E4	0x05D4	# HEBREW LETTER HE
0xF0E5	0x05D5	# HEBREW LETTER VAV
0xF0E6	0x05D6	# HEBREW LETTER ZAYIN
0xF0E7	0x05D7	# HEBREW LETTER HET
0xF0E8	0x05D8	# HEBREW LETTER TET
0xF0E9	0x05D9	# HEBREW LETTER YOD
0xF0EA	0x05DA	# HEBREW LETTER FINAL KAF
0xF0EB	0x05DB	# HEBREW LETTER KAF
0xF0EC	0x05DC	# HEBREW LETTER LAMED
0xF0ED	0x05DD	# HEBREW LETTER FINAL MEM
0xF0EE	0x05DE	# HEBREW LETTER MEM
0xF0EF	0x05DF	# HEBREW LETTER FINAL NUN
0xF0F0	0x05E0	# HEBREW LETTER NUN
0xF0F1	0x05E1	# HEBREW LETTER SAMEKH
0xF0F2	0x05E2	# HEBREW LETTER AYIN
0xF0F3	0x05E3	# HEBREW LETTER FINAL PE
0xF0F4	0x05E4	# HEBREW LETTER PE
0xF0F5	0x05E5	# HEBREW LETTER FINAL TSADI
0xF0F6	0x05E6	# HEBREW LETTER TSADI
0xF0F7	0x05E7	# HEBREW LETTER QOF
0xF0F8	0x05E8	# HEBREW LETTER RESH
0xF0F9	0x05E9	# HEBREW LETTER SHIN
0xF0FA	0x05EA	# HEBREW LETTER TAV
0xF0FD	0x200E	# LEFT-TO-RIGHT MARK
0xF0FE	0x200F	# RIGHT-TO-LEFT MARK
